country,country_code_2_digit,country_code_3_digit,population,source,reported_date,confirmed cases_count,deaths_count
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-04-24,1,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-06-28,736,6
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-04-24,55,4
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-04-27,1,1
the Holy See/ Vatican City State,VA,VAT,809,"Epidemic intelligence, national daily data",2020-08-19,0,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-03-20,3,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-05-28,165,9
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-01-04,0,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-06-10,87,1
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-01-24,0,0
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-10-08,877,0
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-01-14,0,0
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-01-15,0,0
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-08-25,177,4
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-03-08,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-10-01,1076,19
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-02-21,0,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-08-10,1062,5
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-07-22,127,6
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-07-10,219,6
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-10-03,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-03-02,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-04-10,210,11
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-03-20,409,18
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-10-25,1964,2
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-05-15,18,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-06-30,415,10
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-02-05,0,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-01-03,0,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-06-21,0,0
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-01-23,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-02-05,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-17,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-09-09,24,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-09-11,2919,14
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-08-13,253,6
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-02-10,1,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-08-18,344,1
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-04-25,81,1
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-07-31,147,5
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-03-18,9,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-08-20,351,1
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-08-15,292,3
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-06-25,12,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-05-27,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-07-27,0,0
