country,country_code_2_digit,country_code_3_digit,population,reported_date,source,Daily_CU_occupancy_count,Daily_hospital_occupancy_count
Austria,AT,AUT,8858775,2020-06-12,Country_Website,9,69
Austria,AT,AUT,8858775,2020-06-04,Country_Website,22,87
Austria,AT,AUT,8858775,2020-08-20,Country_Website,21,116
Austria,AT,AUT,8858775,2020-06-29,Country_Website,8,74
Austria,AT,AUT,8858775,2020-10-18,Country_Website,135,742
Austria,AT,AUT,8858775,2020-04-08,Surveillance,,1096
Austria,AT,AUT,8858775,2020-06-23,Country_Website,11,68
Austria,AT,AUT,8858775,2020-09-10,Country_Website,39,205
Austria,AT,AUT,8858775,2020-08-16,Country_Website,19,84
Austria,AT,AUT,8858775,2020-08-27,Country_Website,24,145
Austria,AT,AUT,8858775,2020-09-12,Country_Website,42,209
Austria,AT,AUT,8858775,2020-06-15,Country_Website,15,79
Austria,AT,AUT,8858775,2020-09-24,Country_Website,78,422
Austria,AT,AUT,8858775,2020-07-26,Country_Website,15,97
Austria,AT,AUT,8858775,2020-09-15,Country_Website,49,293
Austria,AT,AUT,8858775,2020-09-07,Country_Website,29,163
Austria,AT,AUT,8858775,2020-04-24,Surveillance,156,651
Austria,AT,AUT,8858775,2020-07-19,Country_Website,14,99
Austria,AT,AUT,8858775,2020-05-25,Country_Website,31,139
Austria,AT,AUT,8858775,2020-07-18,Country_Website,11,98
Austria,AT,AUT,8858775,2020-04-29,Surveillance,131,517
Austria,AT,AUT,8858775,2020-08-03,Country_Website,21,113
Austria,AT,AUT,8858775,2020-08-28,Country_Website,27,146
Austria,AT,AUT,8858775,2020-08-14,Country_Website,19,110
Austria,AT,AUT,8858775,2020-05-12,Country_Website,59,264
Austria,AT,AUT,8858775,2020-05-09,Country_Website,79,309
Austria,AT,AUT,8858775,2020-05-21,Country_Website,32,188
Austria,AT,AUT,8858775,2020-06-01,Country_Website,29,97
Austria,AT,AUT,8858775,2020-08-02,Country_Website,20,93
Austria,AT,AUT,8858775,2020-06-03,Country_Website,21,87
Austria,AT,AUT,8858775,2020-08-29,Country_Website,30,144
Austria,AT,AUT,8858775,2020-10-19,Country_Website,145,799
Austria,AT,AUT,8858775,2020-07-29,Country_Website,20,94
Austria,AT,AUT,8858775,2020-05-08,Country_Website,81,339
Austria,AT,AUT,8858775,2020-09-03,Country_Website,29,161
Austria,AT,AUT,8858775,2020-10-25,Country_Website,174,1225
Austria,AT,AUT,8858775,2020-07-06,Country_Website,11,78
Austria,AT,AUT,8858775,2020-06-16,Country_Website,12,78
Austria,AT,AUT,8858775,2020-06-09,Country_Website,19,84
Austria,AT,AUT,8858775,2020-04-23,Surveillance,169,677
Austria,AT,AUT,8858775,2020-04-15,Surveillance,,1001
Austria,AT,AUT,8858775,2020-10-07,Country_Website,100,525
Austria,AT,AUT,8858775,2020-09-17,Country_Website,55,319
Austria,AT,AUT,8858775,2020-09-30,Country_Website,90,496
Austria,AT,AUT,8858775,2020-08-22,Country_Website,22,116
Austria,AT,AUT,8858775,2020-05-28,Country_Website,30,107
Austria,AT,AUT,8858775,2020-08-23,Country_Website,23,116
Austria,AT,AUT,8858775,2020-10-16,Country_Website,122,706
Austria,AT,AUT,8858775,2020-09-28,Country_Website,88,469
Austria,AT,AUT,8858775,2020-06-25,Country_Website,11,71
Austria,AT,AUT,8858775,2020-08-09,Country_Website,22,121
Austria,AT,AUT,8858775,2020-08-01,Country_Website,19,89
Austria,AT,AUT,8858775,2020-09-23,Country_Website,77,413
Austria,AT,AUT,8858775,2020-07-30,Country_Website,18,105
Austria,AT,AUT,8858775,2020-10-24,Country_Website,175,1177
Austria,AT,AUT,8858775,2020-08-21,Country_Website,22,112
Austria,AT,AUT,8858775,2020-09-09,Country_Website,36,197
Austria,AT,AUT,8858775,2020-05-02,Country_Website,114,428
Austria,AT,AUT,8858775,2020-05-15,Country_Website,47,212
Austria,AT,AUT,8858775,2020-07-14,Country_Website,9,83
Austria,AT,AUT,8858775,2020-07-10,Country_Website,9,80
Austria,AT,AUT,8858775,2020-05-07,Country_Website,92,360
Austria,AT,AUT,8858775,2020-07-23,Country_Website,15,102
Austria,AT,AUT,8858775,2020-07-04,Country_Website,8,68
Austria,AT,AUT,8858775,2020-07-15,Country_Website,10,96
Austria,AT,AUT,8858775,2020-05-22,Country_Website,31,159
Austria,AT,AUT,8858775,2020-08-18,Country_Website,19,116
Austria,AT,AUT,8858775,2020-08-06,Country_Website,25,117
Austria,AT,AUT,8858775,2020-05-03,Country_Website,114,422
Austria,AT,AUT,8858775,2020-09-22,Country_Website,75,390
Austria,AT,AUT,8858775,2020-08-25,Country_Website,23,137
Austria,AT,AUT,8858775,2020-10-03,Country_Website,97,494
Austria,AT,AUT,8858775,2020-09-05,Country_Website,28,157
Austria,AT,AUT,8858775,2020-06-02,Country_Website,26,88
Austria,AT,AUT,8858775,2020-08-24,Country_Website,23,135
Austria,AT,AUT,8858775,2020-04-22,Surveillance,176,700
Austria,AT,AUT,8858775,2020-06-14,Country_Website,12,69
Austria,AT,AUT,8858775,2020-08-11,Country_Website,25,119
Austria,AT,AUT,8858775,2020-10-04,Country_Website,103,476
Austria,AT,AUT,8858775,2020-07-02,Country_Website,7,69
Austria,AT,AUT,8858775,2020-08-17,Country_Website,23,114
Austria,AT,AUT,8858775,2020-04-17,Surveillance,,909
Austria,AT,AUT,8858775,2020-08-12,Country_Website,25,118
Austria,AT,AUT,8858775,2020-07-28,Country_Website,15,89
Austria,AT,AUT,8858775,2020-07-25,Country_Website,16,101
Austria,AT,AUT,8858775,2020-05-16,Country_Website,50,208
Austria,AT,AUT,8858775,2020-10-21,Country_Website,147,960
Austria,AT,AUT,8858775,2020-09-19,Country_Website,84,349
Austria,AT,AUT,8858775,2020-09-02,Country_Website,30,157
Austria,AT,AUT,8858775,2020-10-02,Country_Website,100,472
Austria,AT,AUT,8858775,2020-06-17,Country_Website,11,71
Austria,AT,AUT,8858775,2020-08-05,Country_Website,25,115
Austria,AT,AUT,8858775,2020-10-01,Country_Website,98,493
Austria,AT,AUT,8858775,2020-05-26,Country_Website,32,127
Austria,AT,AUT,8858775,2020-09-18,Country_Website,62,334
Austria,AT,AUT,8858775,2020-07-22,Country_Website,18,111
Austria,AT,AUT,8858775,2020-06-05,Country_Website,20,75
Austria,AT,AUT,8858775,2020-05-11,Country_Website,68,279
Austria,AT,AUT,8858775,2020-09-20,Country_Website,68,341
Austria,AT,AUT,8858775,2020-05-30,Country_Website,23,98
Austria,AT,AUT,8858775,2020-07-16,Country_Website,11,94
Austria,AT,AUT,8858775,2020-10-23,Country_Website,158,1058
Austria,AT,AUT,8858775,2020-08-31,Country_Website,31,154
Austria,AT,AUT,8858775,2020-10-05,Country_Website,101,488
Austria,AT,AUT,8858775,2020-08-13,Country_Website,22,114
Austria,AT,AUT,8858775,2020-07-11,Country_Website,9,77
Austria,AT,AUT,8858775,2020-06-10,Country_Website,17,80
Austria,AT,AUT,8858775,2020-06-28,Country_Website,9,71
