country,country_code_2_digit,country_code_3_digit,population,year_week,week_start_date,week_end_date,source,new_hospital_occupancy_count,new_icu_occupancy_count
Belgium,BE,BEL,11455519,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",1.04,
Belgium,BE,BEL,11455519,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",1.47,
Belgium,BE,BEL,11455519,2020-W09,2020-02-23,2020-02-29,"TESSy COVID-19, national weekly data",,
Belgium,BE,BEL,11455519,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",0.82,
Belgium,BE,BEL,11455519,2020-W14,2020-03-29,2020-04-04,"TESSy COVID-19, national weekly data",30.94,
Belgium,BE,BEL,11455519,2020-W21,2020-05-17,2020-05-23,"TESSy COVID-19, national weekly data",3.00,
Belgium,BE,BEL,11455519,2020-W25,2020-06-14,2020-06-20,"TESSy COVID-19, national weekly data",1.06,
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,"TESSy COVID-19, national weekly data",28.38,
Belgium,BE,BEL,11455519,2020-W10,2020-03-01,2020-03-07,"TESSy COVID-19, national weekly data",,
Belgium,BE,BEL,11455519,2020-W41,2020-10-04,2020-10-10,"TESSy COVID-19, national weekly data",7.68,
Belgium,BE,BEL,11455519,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",4.72,
Belgium,BE,BEL,11455519,2020-W17,2020-04-19,2020-04-25,"TESSy COVID-19, national weekly data",12.24,
Belgium,BE,BEL,11455519,2020-W12,2020-03-15,2020-03-21,"TESSy COVID-19, national weekly data",13.30,
Belgium,BE,BEL,11455519,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",1.86,
Belgium,BE,BEL,11455519,2020-W06,2020-02-02,2020-02-08,"TESSy COVID-19, national weekly data",,
Belgium,BE,BEL,11455519,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",1.08,
Belgium,BE,BEL,11455519,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",3.91,
Belgium,BE,BEL,11455519,2020-W16,2020-04-12,2020-04-18,"TESSy COVID-19, national weekly data",16.78,
Belgium,BE,BEL,11455519,2020-W11,2020-03-08,2020-03-14,"TESSy COVID-19, national weekly data",13.30,
Belgium,BE,BEL,11455519,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",1.48,
